device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D58C,2023-05-15,00:00:10,24.25,100.0,26.0,24.843,120.927
74DA38C7CEAC,2023-05-15,00:00:11,25.25,100.0,43.0,23.459,120.455
74DA38B053AE,2023-05-15,00:00:22,27.25,73.0,49.0,23.456,120.422
74DA38B053D4,2023-05-15,00:00:36,26.25,68.0,12.0,25.021,121.501
74DA38C7CEA6,2023-05-15,00:01:05,26.87,80.0,17.0,23.474,120.47
74DA38C7D402,2023-05-15,00:01:23,26.5,100.0,26.0,23.792,120.33
74DA38B053E4,2023-05-15,00:01:28,23.75,100.0,19.0,24.797,121.001
74DA38C7D62A,2023-05-15,00:01:39,23.87,100.0,3.0,24.813,120.981
74DA38C7D63E,2023-05-15,00:01:47,23.5,100.0,6.0,24.747,121.004
74DA38C7D454,2023-05-15,00:01:53,25.87,100.0,0.0,23.773,120.265
74DA38B05400,2023-05-15,00:01:56,25.12,86.0,11.0,23.721,120.585
74DA38C7D60C,2023-05-15,00:02:00,22.87,100.0,21.0,24.727,120.929
74DA38B053E0,2023-05-15,00:02:23,25.62,77.0,22.0,25.062,121.451
74DA38C7D092,2023-05-15,00:02:23,25.5,87.0,48.0,23.442,120.454
74DA38C7D652,2023-05-15,00:02:27,23.75,90.0,27.0,24.784,121.022
74DA38B053F4,2023-05-15,00:02:33,26.87,100.0,13.0,24.79,120.953
74DA38B05406,2023-05-15,00:02:34,25.0,100.0,29.0,23.698,120.539
74DA38B053B2,2023-05-15,00:02:37,25.0,100.0,29.0,23.462,120.454
74DA38C7D4BA,2023-05-15,00:02:55,25.25,100.0,22.0,23.798,120.438
74DA38C7D46C,2023-05-15,00:03:07,25.0,100.0,28.0,23.483,120.487
74DA38C7D606,2023-05-15,00:03:17,25.12,80.0,17.0,24.822,120.973
74DA38C7D61A,2023-05-15,00:03:22,28.11,68.0,11.0,24.769,120.978
74DA38B053F8,2023-05-15,00:03:34,24.25,100.0,29.0,24.807,120.955
74DA38C7D408,2023-05-15,00:03:39,25.75,100.0,12.0,23.755,120.374
74DA38C7D60A,2023-05-15,00:03:39,24.87,100.0,27.0,24.741,120.906
74DA38C7D4C6,2023-05-15,00:03:49,25.62,100.0,8.0,23.788,120.444
74DA38C7D510,2023-05-15,00:03:52,24.5,100.0,27.0,24.789,120.927
74DA38C7D238,2023-05-15,00:03:53,17.25,29.0,23.0,23.72,120.338
74DA38C7D640,2023-05-15,00:03:56,25.5,100.0,10.0,24.802,120.959
74DA38C7D4B4,2023-05-15,00:03:59,27.25,80.0,44.0,23.605,120.459
74DA38C7D530,2023-05-15,00:04:42,24.25,100.0,8.0,24.814,120.922
74DA38C7D5E6,2023-05-15,00:04:42,24.75,100.0,80.0,23.62,120.261
74DA38B053CE,2023-05-15,00:04:52,26.37,83.0,30.0,23.496,120.457
74DA38B053D6,2023-05-15,00:05:15,24.87,100.0,11.0,23.479,120.464
74DA38C7D616,2023-05-15,00:05:20,24.37,100.0,14.0,24.794,120.978
74DA38C7D2AC,2023-05-15,00:05:21,25.75,100.0,37.0,23.707,120.451
74DA38C7D5AE,2023-05-15,00:05:35,26.37,100.0,20.0,23.612,120.158
74DA38C7CEAE,2023-05-15,00:06:03,25.87,100.0,27.0,23.472,120.415
74DA38C7CF66,2023-05-15,00:06:08,25.75,100.0,55.0,23.699,120.54
74DA38C7D58C,2023-05-15,00:06:14,24.37,100.0,25.0,24.843,120.927
74DA38B053AE,2023-05-15,00:06:18,27.25,73.0,46.0,23.456,120.422
74DA38C7CEAC,2023-05-15,00:06:19,25.12,100.0,45.0,23.459,120.455
74DA38B053D4,2023-05-15,00:06:30,26.25,67.0,14.0,25.021,121.501
74DA38C7CEA6,2023-05-15,00:07:06,26.87,80.0,16.0,23.474,120.47
74DA38B053E4,2023-05-15,00:07:23,23.62,100.0,20.0,24.797,121.001
74DA38C7D402,2023-05-15,00:07:29,26.5,100.0,24.0,23.792,120.33
74DA38C7D62A,2023-05-15,00:07:42,24.12,100.0,3.0,24.813,120.981
74DA38C7D63E,2023-05-15,00:07:48,23.62,100.0,6.0,24.747,121.004
